Country,AnnualTouristVisits(inmillions),FishComsumptionpercentage
Cabo Verde,180000,11.266873158496248
Fiji,168000,86.06736478366246
Monaco,159000,64.72319759215918
Congo,158000,97.16493232694008
Eritrea,142000,54.05422235199608
Trinidad and Tobago,141000,46.28329592099202
Dominica,140000,87.68568150159327
Seychelles,124500,76.27940425694396
North Macedonia,118000,15.38286665701095
Guinea,99000,71.12272507083014
Tonga,94000,89.66384775407461
Madagascar,87100,17.90770209107582
Central African Republic,87000,49.81514037521627
Guyana,86400,37.27410493776254
Niger,85000,49.128806025706034
Vanuatu,82400,21.07736183400819
Timor-Leste,74800,43.119359635830826
Sierra Leone,71000,29.659253847218977
Burkina Faso,67000,10.237172645858244
Mongolia,66900,42.77966308294654
Djibouti,63000,69.826441334781
Liechtenstein,58400,45.09014572827566
Guinea-Bissau,52400,40.2717784802546
Papua New Guinea,39000,55.3930027696609
São Tomé and Principe,33400,70.00284962374326
New Caledonia,31000,15.76593860859286
Mauritania,30000,66.2945969761073
Bhutan,29800,22.642006044895567
Moldova,29000,91.23003773639543
Samoa,23900,76.1044597248428
Palau,18400,44.768616546389715
Kiribati,12000,58.325232199102004
Chad,10400,66.42814080447388
Comoros,7000,78.67581684695797
Solomon Islands,4400,50.351752844252786
Tuvalu,3600,47.63043851041333
