Country,GDPperCapita,AvgYearsofSchooling
French Polynesia,33756.84788,6.33779112
Turks and Caicos Islands,33375.29357,5.837756276
China,33255.90648,6.951109158
Thailand,33019.06891,5.857934807
North Macedonia,32821.19227,6.313463684
Bosnia and Herzegovina,32610.70636,6.266177444
Cook Islands,32249.38412,6.107205915
Georgia,31960.62947,6.24849419
Iran,31841.23693,6.84404122
Turkmenistan,31684.01325,6.933393008
Suriname,31608.64668,6.093934612
Botswana,31339.83187,7.140275922
Equatorial Guinea,31213.49044,7.047803901
Brazil,31134.09085,7.107278653
Colombia,31005.67078,5.229921133
Albania,30658.06237,6.821363096
Azerbaijan,30337.66185,5.103976021
Armenia,30215.4377,6.66180985
Moldova,30133.94019,6.936518598
Barbados,29877.71286,6.233428265
Palau,28860.68058,5.085010202
Gabon,27908.12907,5.215469824
Paraguay,26968.99713,5.112781729
Grenada,26484.7561,6.230260858
Saint Vincent and the Grenadines,26224.92008,5.353692122
Sri Lanka,26199.35953,4.381009401
South Africa,25627.24919,5.276398193
Saint Lucia,25212.59246,4.123976096
Lebanon,24192.76576,3.861260441
Peru,23931.96009,4.968058539
Cuba,23817.38543,4.541880444
Anguilla,23097.86701,4.881850654
Indonesia,22699.20483,5.153510445
Nauru,22695.23238,4.387490495
Kosovo,22615.34875,5.225343094
Mongolia,22454.14654,5.301530592
Egypt,22149.47798,4.075808543
American Samoa,22048.44627,5.054890376
Niue,21603.3649,3.4357905
Algeria,21122.91471,3.407156296
Dominica,21002.75767,4.189392144
Bhutan,20919.29511,4.100364804
Ukraine,20522.98347,3.261509456
Ecuador,20198.58219,4.934213593
Vietnam,20194.48952,3.611980407
Tunisia,20185.816,4.709123441
Fiji,20068.97299,4.896724215
Jamaica,19926.02383,4.846719418
Jordan,19762.20502,4.665420687
Namibia,19547.00288,4.425092798
El Salvador,19390.95349,3.881223287
Iraq,19347.95698,4.794888226
Eswatini,18972.21238,4.275979712
Guatemala,18950.29233,4.646695592
Belize,18751.82028,2.939249977
Morocco,18236.53426,3.41750231
Bolivia,18182.51927,4.563743809
Philippines,18095.33572,2.814735466
Laos,17805.58917,3.92713138
"Saint Helena, Ascension, and Tristan da Cunha",17575.13607,3.235408497
Venezuela,17440.14139,4.116965243
Uzbekistan,17009.59287,2.462919075
India,16646.93969,4.142096709
Tonga,16268.01891,4.080084888
Cabo Verde,16218.55604,3.390586983
Tokelau,15855.15545,2.372587093
Marshall Islands,15708.24152,2.233653588
Angola,15395.38896,2.301472756
Bangladesh,15281.26102,3.526394291
Honduras,15269.28516,3.398893945
Nicaragua,15134.15155,2.263159965
Gaza Strip,15020.6151,2.359002107
West Bank,14997.69616,3.625138367
Samoa,14499.09176,3.307134072
Ghana,14448.17459,2.215503772
Cote d'Ivoire,14363.25074,2.883154892
Mauritania,14231.88926,2.594919443
Pakistan,14104.36082,2.597212016
Timor-Leste,13528.00753,3.535330286
Djibouti,12780.75315,2.669753154
Tuvalu,12724.22521,1.648208484
Nigeria,12562.98888,2.443793813
Kyrgyzstan,12007.63347,2.671713997
Kenya,12004.59211,3.117743926
Cambodia,11906.41288,2.78521633
Sao Tome and Principe,11820.86608,1.395086449
Burma,11727.67307,2.085852014
Tajikistan,11287.61931,1.897623064
Wallis and Futuna,11060.9233,2.442199113
Nepal,10536.09413,2.63024009
Cameroon,10512.05595,2.08564294
Sudan,10487.67503,2.510019461
Papua New Guinea,10205.09979,2.026055345
Senegal,10203.6767,1.431221316
Benin,9548.797453,2.303233821
"Micronesia, Federated States of",9314.529274,1.907392375
Zambia,9230.137778,1.43492534
"Congo, Republic of the",9113.735705,2.633511094
Comoros,8200.255856,1.22723486
Haiti,8072.056673,1.900987771
Syria,8056.06051,1.111697898
Vanuatu,7836.274512,2.157627292
Tanzania,7694.937753,1.177614826
Guinea,7493.063547,1.815999973
Yemen,7365.594193,1.312318963
Solomon Islands,6986.821029,1.799302469
Lesotho,6762.654726,1.746562427
Ethiopia,6526.811302,1.42217076
Rwanda,6493.063301,1.803361719
Uganda,6327.096433,1.818245208
Burkina Faso,6221.057621,0.316096072
"Gambia, The",5964.257935,0.478834951
Zimbabwe,5541.81468,1.056710594
Togo,5398.487977,0.51133965
Mali,5368.634452,1.106327587
Kiribati,4838.043986,1.947716497
Guinea-Bissau,4749.942667,0.00069002
"Korea, North",4426.933118,1.330290854
South Sudan,4037.246324,-0.146006864
Eritrea,3740.57435,0.88823721
Sierra Leone,3668.410046,0.818971279
Afghanistan,3405.733352,0.539134725
Malawi,3176.329894,-0.222356724
Madagascar,3028.922746,1.226011339
Liberia,2854.321956,0.06632637
Chad,2499.728478,0.723387188
Mozambique,2214.485163,-0.202881608
Niger,1978.681907,-0.398015881
"Congo, Democratic Republic of the",1542.626045,-0.523261179
Somalia,1410.175701,0.453586303
Central African Republic,1325.80491,0.327870245
Burundi,1298.633447,0.903446808
